,CODE_GENDER,FLAG_OWN_CAR,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,YEARS_BEGINEXPLUATATION_AVG,OBS_30_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,NAME_EDUCATION_TYPE_Highereducation,INCOME_CREDIT_PERC,INCOME_PER_PERSON,ANNUITY_INCOME_PERC,PAYMENT_RATE,BURO_DAYS_CREDIT_MAX,BURO_DAYS_CREDIT_UPDATE_MEAN,BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,BURO_AMT_CREDIT_SUM_MEAN,BURO_AMT_CREDIT_SUM_SUM,BURO_AMT_CREDIT_SUM_DEBT_MEAN,ACTIVE_DAYS_CREDIT_MAX,ACTIVE_DAYS_CREDIT_ENDDATE_MIN,ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,CLOSED_DAYS_CREDIT_MAX,PREV_AMT_ANNUITY_MIN,PREV_AMT_ANNUITY_MAX,PREV_AMT_ANNUITY_MEAN,PREV_APP_CREDIT_PERC_MIN,PREV_APP_CREDIT_PERC_MAX,PREV_APP_CREDIT_PERC_MEAN,PREV_AMT_DOWN_PAYMENT_MAX,PREV_AMT_GOODS_PRICE_MIN,PREV_RATE_DOWN_PAYMENT_MEAN,PREV_DAYS_DECISION_MIN,PREV_DAYS_DECISION_MAX,PREV_DAYS_DECISION_MEAN,PREV_CNT_PAYMENT_MEAN,PREV_NAME_CONTRACT_STATUS_Refused_MEAN,PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,PREV_NAME_YIELD_GROUP_high_MEAN,APPROVED_AMT_APPLICATION_MIN,APPROVED_AMT_APPLICATION_MAX,APPROVED_AMT_APPLICATION_MEAN,APPROVED_DAYS_DECISION_MAX,APPROVED_CNT_PAYMENT_MEAN,APPROVED_CNT_PAYMENT_SUM,POS_MONTHS_BALANCE_MAX,POS_MONTHS_BALANCE_MEAN,POS_MONTHS_BALANCE_SIZE,INSTAL_DPD_MEAN,CC_AMT_BALANCE_MEAN,CC_AMT_BALANCE_VAR,CC_CNT_DRAWINGS_ATM_CURRENT_MEAN
280616,0,1,112500.0,314100.0,11767.5,0.019101,-10005,-376.0,-4851.0,-2250,16.0,0.3437583486787677,0.6322409237361782,0.6594055320683344,,0.0,-852.0,0,0.3581661891117478,56250.0,0.1046,0.0374641833810888,-682.0,-28.5,,361800.0,723600.0,224977.5,-682.0,536.0,840.0,,0.0,,2250.0,20649.24,13761.918,0.873212058974547,1.0,0.9354779994263264,0.0,45000.0,0.0,-852.0,-181.0,-432.6,7.2,0.2,0.0,0.0,102951.0,125991.0,110233.125,-181.0,9.0,36.0,-15.0,-17.333333333333332,3.0,,0.0,0.0,
147879,0,0,450000.0,900000.0,85455.0,0.0196889999999999,-9850,-1719.0,-586.0,-306,,,0.6417366783707074,0.5779691187553125,,7.0,-2288.0,0,0.5,450000.0,0.1899,0.09495,-1666.0,-278.0,0.0,13500.0,13500.0,0.0,,,,,,-1666.0,5135.085,37987.47,21561.2775,1.3126954346466542,1.5559416261292565,1.434318530387955,45000.0,50377.5,0.3242828288330507,-2796.0,-211.0,-1503.5,6.0,0.0,0.5,0.0,50377.5,188910.0,119643.75,-211.0,6.0,12.0,-68.0,-76.0,3.0,,,,
101811,1,0,270000.0,528633.0,25560.0,0.018634,-19088,-615.0,-5315.0,-2613,,0.8290985430157216,0.5182586591513018,0.4632753280912678,0.9732,0.0,-2692.0,1,0.5107513151846366,135000.0,0.0946666666666666,0.0483511245041455,,,,,,,,,,,,,6685.155,6685.155,6685.155,1.0109976433621366,1.0109976433621366,1.0109976433621366,5791.5,57915.0,0.0999971463223228,-2692.0,-2692.0,-2692.0,12.0,0.0,1.0,0.0,57915.0,57915.0,57915.0,-2692.0,12.0,12.0,,,,,,,
248338,1,0,81000.0,463500.0,31099.5,0.0096569999999999,-20133,,-10659.0,-2879,,,0.7512363402691568,0.6894791426446275,,1.0,-906.0,0,0.174757281553398,40500.0,0.3839444444444444,0.0670970873786407,,,,,,,,,,,,,6391.305,16293.15,9449.51625,0.0,0.9044915915702832,0.6730890361785763,0.0,52875.0,0.0,-906.0,-480.0,-708.5,12.0,0.0,0.5,0.25,0.0,225000.0,83809.125,-480.0,12.0,48.0,-4.0,-13.9,10.0,,,,
160567,1,0,315000.0,1129500.0,33156.0,0.030755,-19432,-6796.0,-2938.0,-2906,,0.883026135866116,0.6975355487475643,0.4902575124990026,0.9796,0.0,-1086.0,1,0.2788844621513944,315000.0,0.1052571428571428,0.0293545816733067,-278.0,-561.0,15399.0,871007.25,5226043.5,0.0,-278.0,1546.0,1546.0,,,-2088.0,6535.8,10907.775,8721.7875,0.7663618249629591,0.8170602173380178,0.7917110211504885,0.0,45000.0,0.0,-1801.0,-299.0,-1062.0,18.0,0.0,0.6666666666666666,0.3333333333333333,45000.0,135000.0,90000.0,-1086.0,18.0,36.0,-12.0,-24.0,6.0,,,,
188594,1,0,90000.0,104256.0,11790.0,0.022625,-9897,-2906.0,-1761.0,-1974,,0.1994695490846297,0.0529930463598164,0.3706496323299817,0.6533,0.0,-597.0,0,0.8632596685082873,30000.0,0.131,0.1130870165745856,,,,,,,,,,,,,4500.0,6536.34,5518.17,0.8170602173380178,1.0,0.908530108669009,,45000.0,,-597.0,-369.0,-468.3333333333333,6.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,45000.0,45000.0,45000.0,-597.0,12.0,12.0,-13.0,-16.666666666666668,6.0,,,,
205929,1,0,121500.0,1125000.0,37174.5,0.026392,-13060,-5880.0,-1232.0,-3830,,0.7246359555954265,0.7129385569056779,0.4436153084085652,0.9831,0.0,-1590.0,1,0.108,60750.0,0.3059629629629629,0.033044,,,,,,,,,,,,,9329.85,24412.185,14309.82,0.9380863039399624,1.200207715133531,1.1008764947507983,21735.0,52956.0,0.1390812816254798,-2481.0,-1590.0,-2071.0,8.0,0.0,0.5,0.5,52956.0,202500.0,107364.285,-1590.0,8.0,32.0,-72.0,-72.0,1.0,,,,
174353,0,1,315000.0,497520.0,53712.0,0.030755,-17826,-1764.0,-1683.0,-1353,7.0,,0.6399398491481402,0.3740208032583212,0.9866,0.0,-1781.0,0,0.6331403762662807,157500.0,0.1705142857142857,0.1079594790159189,,,,,,,,,,,,,18274.545,29250.0,24666.39,0.0,0.9380863039399624,0.6160014704367663,0.0,180000.0,0.0,-1576.0,-137.0,-521.5,10.0,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.0,180000.0,90000.0,-583.0,9.0,18.0,-10.0,-19.8,5.0,,72269.793,26114614901.314247,0.3333333333333333
28008,1,1,292500.0,320922.0,31392.0,0.02461,-18718,-1207.0,-8298.0,-2266,4.0,0.6758432123162811,0.7298683526040017,0.7352209993926424,,0.0,-893.0,1,0.911436423803915,292500.0,0.1073230769230769,0.0978181614224017,,,,,,,,,,,,,4555.485,4555.485,4555.485,1.0618556701030928,1.0618556701030928,1.0618556701030928,2475.0,24102.0,0.107079013228459,-2713.0,-2713.0,-2713.0,6.0,0.0,1.0,0.0,24102.0,24102.0,24102.0,-2713.0,6.0,6.0,,,,0.0,,,
99151,0,1,225000.0,675000.0,36616.5,0.011703,-11076,-1935.0,-2153.0,-2628,2.0,,0.6172212666151773,,,3.0,-451.0,0,0.3333333333333333,225000.0,0.16274,0.0542466666666666,,,,,,,,,,,,,,,,,,,,,,-108.0,-108.0,-108.0,,0.0,0.0,0.0,,,,,,,-15.0,-16.0,2.0,,321037.90875,148549616.58965603,0.0
187607,1,0,360000.0,66222.0,6912.0,0.010643,-17455,-5936.0,-3805.0,-984,,,0.6330947010880057,0.6817058776720116,,0.0,-1041.0,0,5.436259853220984,120000.0,0.0192,0.1043761891818429,-1021.0,-298.22222222222223,0.0,469305.0,4223745.0,96437.5,-1021.0,211.0,1004.0,0.0,195000.0,-1104.0,12455.19,12455.19,12455.19,1.0679699637493527,1.0679699637493527,1.0679699637493527,14850.0,74241.0,0.1917004480477917,-900.0,-91.0,-495.5,6.0,0.0,0.5,0.0,74241.0,74241.0,74241.0,-900.0,6.0,6.0,-20.0,-22.666666666666668,3.0,,,,
239240,1,1,54000.0,123637.5,10039.5,0.020246,-9872,-1033.0,-8882.0,-2522,17.0,0.3427918626457106,0.1440882630342151,0.3944954053123993,,0.0,-307.0,0,0.4367606915377616,27000.0,0.1859166666666666,0.0812010919017288,,,,,,,,,,,,,5048.595,13511.925,9280.26,0.968054211035818,1.0,0.9840271055179092,0.0,41521.5,0.0,-307.0,-49.0,-178.0,9.0,0.5,0.5,0.5,41521.5,41521.5,41521.5,-307.0,12.0,12.0,-6.0,-8.0,2.0,,,,
228307,0,0,67500.0,101880.0,10831.5,0.030755,-15104,-3826.0,-9044.0,-4884,,,0.542155208207202,0.5762088360175724,,1.0,-722.0,0,0.6625441696113075,33750.0,0.1604666666666666,0.1063162544169611,-2852.0,-1429.0,,135000.0,135000.0,33876.0,-2852.0,-1026.0,-1026.0,,0.0,,9168.12,9168.12,9168.12,1.2002002002002,1.2002002002002,1.2002002002002,9000.0,53955.0,0.1816665402987336,-722.0,-722.0,-722.0,6.0,0.0,0.0,1.0,53955.0,53955.0,53955.0,-722.0,6.0,6.0,-24.0,-24.0,1.0,,,,
136765,1,0,319275.0,1575000.0,54747.0,0.010006,-13024,-536.0,-1192.0,-2160,,0.5868926306830503,0.6898973440449974,0.5064842396679806,,2.0,-155.0,1,0.2027142857142857,159637.5,0.1714728682170542,0.03476,-1634.0,-527.0,,63796.5,63796.5,0.0,,,,,,-1634.0,,,,,,,,,,,,,,,,,,,,,,,-3.0,-3.0,1.0,,,,
184415,1,0,153000.0,497520.0,52371.0,0.025164,-17223,-3406.0,-4867.0,-718,,0.648573570999875,0.2766503433381348,0.5849900404894085,0.9762,0.0,-158.0,0,0.3075253256150506,76500.0,0.3422941176470588,0.1052641099855282,-75.0,-609.625,0.0,111567.375,892539.0,36048.0,-75.0,56.0,300.6666666666667,0.0,0.0,-624.0,4806.945,7870.95,6338.9475,0.898111923796564,1.0,0.949055961898282,0.0,23760.0,0.0,-864.0,-158.0,-511.0,9.0,0.0,0.5,0.0,23760.0,87367.5,55563.75,-158.0,9.0,18.0,-2.0,-2.0,1.0,,,,
143784,0,0,99000.0,244998.0,14935.5,0.022625,-22584,,-9024.0,-4790,,,0.6264308614135721,0.6956219298394389,0.9712,7.0,-1114.0,0,0.4040849313055616,99000.0,0.1508636363636363,0.0609617221365072,-2277.0,-1043.0,,92664.0,92664.0,,,,,,,-2277.0,3127.59,12088.8,5972.292,0.9099181073703366,1.059774761767254,0.9627999204631928,2520.0,16515.0,0.0511922966919799,-2552.0,-1114.0,-1820.6,12.8,0.2,0.2,0.8,16515.0,135000.0,66701.25,-1114.0,13.5,54.0,-6.0,-27.58333333333333,12.0,,,,
102988,1,0,67500.0,450000.0,17095.5,0.030755,-22677,,-3502.0,-1731,,0.8028891755868405,0.5315095260101802,0.7076993447402619,,0.0,-1086.0,0,0.15,33750.0,0.2532666666666666,0.03799,-101.0,-1090.0,0.0,67889.7,339448.5,11450.7,-101.0,264.0,264.0,0.0,0.0,-1086.0,7567.2,7567.2,7567.2,1.0,1.0,1.0,,180000.0,,-598.0,-598.0,-598.0,48.0,0.0,1.0,0.0,180000.0,180000.0,180000.0,-598.0,48.0,48.0,-2.0,-18.33333333333333,9.0,,,,
175849,0,1,112500.0,284400.0,18306.0,0.003069,-13074,-801.0,-5690.0,-4236,17.0,0.6884532033045961,0.241003135067345,0.5638350489514956,,1.0,-1530.0,0,0.3955696202531645,112500.0,0.16272,0.0643670886075949,-194.0,-506.375,0.0,97140.4875,777123.9,33990.75,-194.0,538.0,538.0,,0.0,-299.0,3028.59,44701.515,22254.91875,0.8481482097420632,1.0267692080159727,0.9563696502621004,9000.0,15313.5,0.0149981533993101,-1530.0,-215.0,-467.8181818181818,9.5,0.2727272727272727,0.3636363636363636,0.1818181818181818,15313.5,125523.0,86001.3,-226.0,6.8,34.0,-14.0,-37.5,4.0,,,,
263969,1,1,193500.0,545040.0,39496.5,0.01885,-10880,-995.0,-4842.0,-3430,4.0,,0.4116376750778419,,,1.0,0.0,0,0.3550198150594452,48375.0,0.2041162790697674,0.0724653236459709,,,,,,,,,,,,,3020.445,23495.4,14630.4,1.0,1.1750541777028654,1.0674352981108504,23494.5,21960.0,0.0847684298643591,-771.0,-63.0,-453.0,9.6,0.2,0.0,0.2,21960.0,176625.0,104883.75,-63.0,9.5,38.0,,,,,,,
276024,1,0,225000.0,1546020.0,45333.0,0.0060079999999999,-13268,-2896.0,-6234.0,-894,,,0.6715173009508378,0.4794489811780563,,2.0,-601.0,1,0.1455349866107812,75000.0,0.20148,0.0293223891023402,-114.0,-232.75,0.0,300600.0,1202400.0,212483.25,-114.0,1060.0,1386.0,,0.0,-625.0,6733.845,6733.845,6733.845,1.0,1.0,1.0,0.0,99657.0,0.0,-601.0,-601.0,-601.0,16.0,0.0,0.0,0.0,99657.0,99657.0,99657.0,-601.0,16.0,16.0,-17.0,-17.0,1.0,,,,
191651,0,0,135000.0,112500.0,12721.5,0.04622,-19966,-102.0,-9531.0,-586,,0.7872705343278493,0.4846392752803157,,0.9836,0.0,0.0,0,1.2,67500.0,0.0942333333333333,0.11308,-13.0,-13.0,0.0,13500.0,13500.0,13500.0,-13.0,3.0,3.0,0.0,0.0,,25151.895,25151.895,25151.895,0.9181335381943284,0.9181335381943284,0.9181335381943284,0.0,123696.0,0.0,-800.0,-800.0,-800.0,6.0,0.0,0.0,0.0,123696.0,123696.0,123696.0,-800.0,6.0,6.0,-10.0,-15.833333333333334,6.0,,,,
45559,1,0,112500.0,337500.0,16875.0,0.00496,-15512,-2173.0,-4668.0,-4684,,0.3454253308039729,0.3501984187646556,,,1.0,0.0,0,0.3333333333333333,56250.0,0.15,0.05,,,,,,,,,,,,,6336.54,14958.675,10898.055,0.8789637480023551,0.9380863039399624,0.901234421894751,4500.0,47025.0,0.0422488520866983,-1176.0,-472.0,-782.75,15.0,0.0,0.0,0.5,47025.0,180000.0,107075.25,-472.0,15.0,60.0,-5.0,-18.857142857142858,7.0,0.4545454545454545,,,
292427,1,0,144000.0,1264500.0,36972.0,0.026392,-21614,,-5746.0,-4364,,,0.7238731132883803,0.3944954053123993,,0.0,-1444.0,0,0.1138790035587188,72000.0,0.25675,0.029238434163701,-611.0,-876.0,1655.685,90638.82,271916.46,1516.5,-622.0,,,0.0,85447.08,-611.0,9340.065,34821.63,23449.385,0.8732099196646874,1.1111231746376418,0.9752351486376168,9211.5,47106.0,0.0363065775993272,-2208.0,-125.0,-1173.1,40.44444444444444,0.3,0.1,0.0,47106.0,855000.0,450702.0,-527.0,32.666666666666664,196.0,-4.0,-19.6,10.0,,,,
48206,1,0,144000.0,536917.5,22878.0,0.030755,-18042,-10917.0,-7942.0,-1581,,0.408051538537093,0.6165132193698406,0.6127042441012546,,0.0,-1209.0,0,0.2681976281272262,72000.0,0.158875,0.042609898168713,-146.0,-407.5,0.0,146046.82499999998,876280.95,0.0,-146.0,948.0,948.0,0.0,90069.57,-464.0,2250.0,12443.4,7853.445,0.7572067211345769,1.0,0.8557777678043527,0.0,45000.0,0.0,-1209.0,-44.0,-718.6666666666666,10.0,0.0,0.0,0.0,45000.0,108000.0,80472.0,-44.0,10.0,30.0,-22.0,-27.33333333333333,3.0,0.0,,,
286706,1,0,225000.0,545040.0,25537.5,0.006629,-14732,-950.0,-2221.0,-3067,,0.6052424795820125,0.712419135144131,0.5226973172821112,0.9831,0.0,-685.0,0,0.4128137384412153,75000.0,0.1135,0.0468543593130779,-252.0,-206.0,,568575.0,1705725.0,424294.5,-252.0,1575.0,16383.0,,0.0,-763.0,39024.45,39024.45,39024.45,1.1986072605819815,1.1986072605819815,1.1986072605819815,49419.0,247081.5,0.2106037288238693,-685.0,-685.0,-685.0,6.0,0.0,0.0,0.0,247081.5,247081.5,247081.5,-685.0,6.0,6.0,-9.0,-9.0,1.0,,,,
192933,0,1,202500.0,426645.0,22338.0,0.005144,-11994,-112.0,-2757.0,-2766,6.0,0.1971689586001312,0.6313863164168162,0.4471785780453068,,3.0,-239.0,1,0.4746334774812783,101250.0,0.1103111111111111,0.0523573462714903,,,,,,,,,,,,,21095.595,38250.0,29672.7975,0.0,0.9699025679460376,0.4849512839730188,13500.0,110646.0,0.1152436502159616,-524.0,-281.0,-402.5,3.0,0.0,0.0,0.0,0.0,110646.0,55323.0,-281.0,3.0,6.0,-13.0,-25.5,4.0,,231803.55,25736504891.80995,0.0
18080,1,0,126000.0,1288350.0,37800.0,0.0196889999999999,-16245,-3164.0,-7842.0,-1374,,,0.6746785559442158,0.6706517530862718,0.9891,0.0,-1061.0,0,0.097799511002445,63000.0,0.3,0.0293398533007334,,,,,,,,,,,,,25652.52,25652.52,25652.52,0.8293402137854773,0.8293402137854773,0.8293402137854773,,202500.0,,-256.0,-256.0,-256.0,12.0,0.0,1.0,0.0,202500.0,202500.0,202500.0,-256.0,12.0,12.0,-2.0,-11.285714285714286,7.0,0.0,,,
57537,0,0,166500.0,161730.0,11070.0,0.014464,-10926,-1124.0,-4461.0,-496,,0.4382377561174773,0.6297460158542474,,0.9747,0.0,-345.0,0,1.0294936004451865,166500.0,0.0664864864864864,0.0684474123539232,,,,,,,,,,,,,2250.0,8334.54,4278.18,0.943970825044994,1.0,0.9813236083483312,2.25,44844.75,5.157901534884723e-05,-345.0,-334.0,-341.3333333333333,2.0,0.0,0.0,0.0,44844.75,45000.0,44948.25,-334.0,2.0,6.0,,,,0.0,75774.13500000001,978140614.0749748,1.3333333333333333
184635,1,0,72000.0,270000.0,14512.5,0.028663,-16278,-9288.0,-5143.0,-4626,,,0.6379320300612007,0.6910212267577837,0.9866,0.0,-1550.0,0,0.2666666666666666,24000.0,0.2015625,0.05375,,,,,,,,,,,,,2132.91,23502.735,13635.37125,0.8833922261484098,1.0,0.9439578850008494,13500.0,16420.5,0.0245430780871422,-2217.0,-1350.0,-1747.0,25.0,0.0,0.75,0.75,16420.5,630000.0,240073.875,-1350.0,25.0,100.0,-4.0,-29.8,10.0,,,,
